;position;squad;minutes;xg_per90;shoots_on_t_x_game;passes_x_game;dribbles_x_game;goals
6050;9;5;1285.0;0.7;1.0555555555555556;2.5;0.6666666666666666;9.0
6051;9;5;10.0;0.0;0.0;0.0;0.0;0.0
6052;6;5;65.0;0.12;0.3333333333333333;0.0;0.3333333333333333;0.0
6053;6;5;25.0;0.0;0.0;0.0;0.0;0.0
6054;9;4;9.0;0.45;0.0;1.0;0.0;0.0
6056;2;4;5.0;0.0;0.0;0.0;1.0;0.0
6057;8;4;163.0;0.23;0.15384615384615385;0.23076923076923078;0.15384615384615385;0.0
6059;6;4;1251.0;0.02;0.1;3.0;0.55;0.0
6060;3;4;1941.0;0.03;0.08333333333333333;2.625;0.16666666666666666;0.0
6061;3;4;556.0;0.01;0.14285714285714285;1.1428571428571428;0.2857142857142857;0.0
6062;9;4;2280.0;0.43;1.0769230769230769;1.6153846153846154;1.0769230769230769;9.0
6063;6;4;148.0;0.06;0.3333333333333333;1.3333333333333333;0.5;0.0
6064;6;4;1150.0;0.04;0.25;4.3125;1.375;0.0
6065;3;4;2510.0;0.03;0.0;3.4285714285714284;0.17857142857142858;0.0
6066;7;4;121.0;0.2;0.0;0.4;0.8;0.0
6067;9;4;2237.0;0.33;0.75;0.9642857142857143;0.9642857142857143;6.0
6068;2;4;2458.0;0.03;0.25;3.0357142857142856;0.14285714285714285;2.0
6069;3;4;1376.0;0.07;0.1875;3.625;0.375;1.0
6070;6;4;1684.0;0.14;0.88;2.68;0.6;6.0
6071;3;4;1821.0;0.02;0.047619047619047616;2.3333333333333335;1.0952380952380953;0.0
6072;1;4;811.0;0.04;0.05555555555555555;0.9444444444444444;0.3333333333333333;0.0
6074;1;4;587.0;0.07;0.29411764705882354;0.7647058823529411;0.47058823529411764;1.0
6075;6;4;1524.0;0.15;0.3684210526315789;4.7894736842105265;1.4736842105263157;6.0
6076;9;4;106.0;0.81;0.2;0.0;0.0;0.0
6077;3;4;2016.0;0.03;0.16666666666666666;2.1666666666666665;0.9583333333333334;2.0
6078;3;4;60.0;0.0;0.0;0.0;0.0;0.0
6079;1;4;151.0;0.0;0.0;0.0;0.3333333333333333;0.0
6080;3;4;90.0;0.0;0.0;1.0;0.0;0.0
6081;3;3;1400.0;0.04;0.23529411764705882;2.823529411764706;1.1764705882352942;0.0
6082;9;3;14.0;0.0;0.0;1.5;0.0;0.0
6083;7;3;762.0;0.25;1.1111111111111112;2.111111111111111;2.111111111111111;2.0
6085;6;3;180.0;0.02;2.5;11.0;1.0;0.0
6086;3;3;1737.0;0.07;0.13636363636363635;2.0454545454545454;0.22727272727272727;1.0
6087;9;3;121.0;0.0;0.0;0.0;0.16666666666666666;0.0
6088;6;3;1335.0;0.09;0.29411764705882354;3.6470588235294117;0.8235294117647058;2.0
6089;9;3;603.0;0.24;0.4117647058823529;0.17647058823529413;0.47058823529411764;3.0
6091;8;3;520.0;0.15;0.2857142857142857;0.21428571428571427;0.8571428571428571;0.0
6092;8;3;2246.0;0.12;0.5384615384615384;1.8846153846153846;2.076923076923077;3.0
6093;6;3;1373.0;0.08;0.15;1.0;0.95;0.0
6094;9;3;140.0;0.78;0.6;0.4;0.2;2.0
6095;3;3;929.0;0.09;0.18181818181818182;2.0;0.0;1.0
6096;3;3;2339.0;0.04;0.0;0.0;0.23076923076923078;2.0
6097;3;3;2056.0;0.06;0.08333333333333333;2.375;0.5416666666666666;1.0
6098;3;3;1530.0;0.01;0.0;2.619047619047619;0.5238095238095238;0.0
6099;8;3;1994.0;0.12;0.4444444444444444;0.8888888888888888;1.037037037037037;5.0
6100;5;3;2027.0;0.27;0.625;1.4583333333333333;1.125;4.0
6101;9;3;584.0;0.24;1.1428571428571428;0.5714285714285714;0.7142857142857143;2.0
6102;4;3;22.0;0.0;0.0;0.0;0.0;0.0
6103;6;3;1165.0;0.11;0.2727272727272727;1.5;0.5454545454545454;0.0
6104;9;3;123.0;0.34;0.3333333333333333;0.16666666666666666;0.16666666666666666;0.0
6105;6;3;68.0;0.0;0.0;3.0;0.0;0.0
6106;6;3;87.0;0.0;0.0;1.4;0.6;0.0
6107;6;3;1632.0;0.06;0.30434782608695654;2.739130434782609;0.5652173913043478;1.0
6108;6;4;1817.0;0.08;0.28;3.4;0.48;1.0
6109;3;4;1605.0;0.0;0.0;2.263157894736842;1.105263157894737;0.0
6110;3;4;415.0;0.01;0.0;1.5714285714285714;0.14285714285714285;0.0
6111;7;4;349.0;0.07;0.25;1.0833333333333333;0.3333333333333333;0.0
6112;8;4;1845.0;0.13;0.8333333333333334;2.0833333333333335;2.1666666666666665;5.0
6113;9;4;14.0;0.0;0.0;0.0;0.0;0.0
6114;9;4;1616.0;0.28;0.9047619047619048;0.6666666666666666;0.6666666666666666;4.0
6115;8;4;292.0;0.28;0.16666666666666666;0.6666666666666666;0.3333333333333333;0.0
6116;3;4;834.0;0.01;0.0;2.8;0.6;0.0
6117;3;4;2177.0;0.05;0.24;1.8;0.16;1.0
6118;3;4;45.0;0.0;0.0;2.0;0.0;0.0
6119;8;4;1468.0;0.12;0.3333333333333333;1.2222222222222223;2.037037037037037;1.0
6120;1;4;327.0;0.01;0.0;0.125;0.0;0.0
6122;5;4;270.0;0.04;0.3333333333333333;4.0;0.6666666666666666;0.0
6123;8;4;151.0;0.15;0.25;0.25;0.25;1.0
6124;7;4;2009.0;0.08;0.5416666666666666;3.5416666666666665;1.0833333333333333;2.0
6125;3;4;45.0;0.0;0.0;1.0;0.0;0.0
6126;4;4;523.0;0.07;0.05555555555555555;1.1111111111111112;0.3888888888888889;0.0
6127;3;4;1890.0;0.06;0.14285714285714285;2.3333333333333335;0.7619047619047619;0.0
6128;3;4;185.0;0.0;0.0;1.3333333333333333;0.0;0.0
6129;6;4;270.0;0.06;0.3333333333333333;5.666666666666667;1.6666666666666667;0.0
6130;6;4;6.0;0.32;0.0;1.0;0.0;0.0
6131;8;4;2177.0;0.28;0.6923076923076923;0.8846153846153846;2.0;5.0
6132;6;4;2221.0;0.12;0.2962962962962963;4.296296296296297;1.4074074074074074;3.0
6133;3;4;1738.0;0.0;0.05;3.9;0.8;0.0
6134;3;4;682.0;0.02;0.0;0.6666666666666666;0.2222222222222222;0.0
6135;9;4;163.0;0.21;0.4;0.2;0.0;0.0
6136;6;8;1280.0;0.05;0.30434782608695654;3.3043478260869565;0.782608695652174;2.0
6137;8;8;2172.0;0.21;0.45454545454545453;1.9393939393939394;0.30303030303030304;4.0
6138;6;8;902.0;0.03;0.06666666666666667;6.2;0.2;1.0
6139;3;8;2970.0;0.09;0.18181818181818182;4.0606060606060606;0.8181818181818182;3.0
6140;6;8;1134.0;0.15;0.3076923076923077;1.1923076923076923;1.0384615384615385;1.0
6141;3;8;376.0;0.04;0.2222222222222222;1.4444444444444444;0.5555555555555556;0.0
6142;3;8;1481.0;0.02;0.15;4.2;0.75;1.0
6143;8;8;2810.0;0.41;1.027027027027027;2.324324324324324;1.7837837837837838;8.0
6144;3;8;2105.0;0.04;0.16;5.8;0.48;0.0
6145;9;8;501.0;0.84;0.6470588235294118;0.11764705882352941;0.29411764705882354;3.0
6146;6;8;752.0;0.01;0.14285714285714285;3.7142857142857144;0.5;0.0
6147;9;8;1025.0;0.36;0.5;0.3076923076923077;0.9230769230769231;4.0
6148;3;8;529.0;0.0;0.0;2.888888888888889;0.0;0.0
6149;3;8;1799.0;0.04;0.045454545454545456;3.590909090909091;0.2727272727272727;1.0
6150;3;8;256.0;0.01;0.0;1.0;1.5;0.0
6151;3;8;2176.0;0.07;0.3076923076923077;1.8076923076923077;0.07692307692307693;4.0
6153;9;8;1689.0;0.28;0.7741935483870968;1.2580645161290323;0.8387096774193549;9.0
6154;9;8;1747.0;0.53;1.0384615384615385;0.8076923076923077;0.5769230769230769;11.0
6156;9;8;743.0;0.23;0.5333333333333333;0.9333333333333333;1.1333333333333333;2.0
6157;3;8;1966.0;0.05;0.4166666666666667;4.75;1.0833333333333333;0.0
6158;6;8;2684.0;0.1;0.5151515151515151;7.2727272727272725;0.9090909090909091;3.0
6159;8;8;176.0;0.48;0.1111111111111111;0.6666666666666666;0.3333333333333333;1.0
6160;6;8;2924.0;0.12;0.5675675675675675;7.054054054054054;1.162162162162162;2.0
6161;7;5;3021.0;0.19;0.4722222222222222;1.1111111111111112;1.2777777777777777;4.0
6162;8;5;749.0;0.02;0.05263157894736842;0.10526315789473684;1.0;0.0
6163;6;5;751.0;0.01;0.0;1.8333333333333333;0.5;0.0
